glide ratio	finesse
required glide ratio	finesse requise
required glide	finesse requise
glide	finesse
outlanding field	aire de sécurité
outlanding fields	aires de sécurité
outlanding	vache
landing field	terrain
airfield	aérodrome
airfields	aérodromes
aerodrome chart	carte d'aérodrome
glider pilot	vélivole
glider pilots	vélivoles
straight-line	à vol d'oiseau
sink	descendance
terrain clearance	garde au sol
airspace	espace aérien
home screen	écran d'accueil
cockpit aid	aide cockpit
offline	hors ligne
region	région
regions	régions
pack	pack
packs	packs
notes	fiches
difficulty rating	cotation
approach	approche
hazards	dangers
